	GCA_001651475.1_Ler_Assembly_genomic.filtered.fna	GCA_902651935.1_araThaAn1v1_genomic.filtered.fna	GCA_902705455.1_araThaC24v1_genomic.filtered.fna	GCA_904420315.1_AT9943.Cdm-0.scaffold_genomic.filtered.fna	GCF_000001735.4_TAIR10.1_genomic.filtered.fna
Number of sequences:	30	107	94	7	7
Total sequence length:	118890721	120127203	119223114	130173334	119668634
Average sequence length:	3963024.033333333	1122684.1401869159	1268331.0	18596190.57142857	17095519.14285714
Std. dev. sequence length:	8726676.426581087	5083228.526299922	5359187.316284849	11813443.463360218	11286357.84062578
Minimum sequence length:	50669	1050	1047	652063	154478
Maximum sequence length:	29387870	30401407	29413772	31060185	30427671
Median sequence length:	135616.0	10354.0	9044.5	21955978.0	19698289.0
N25 sequence index:	2	1	2	2	1
N25 sequence length:	26372590	30401407	26063859	28382712	30427671
N50 sequence index:	3	3	3	3	3
N50 sequence length:	22588203	23034411	23835907	26887939	23459830
N75 sequence index:	4	4	4	4	4
N75 sequence length:	19037554	19417579	19336248	21955978	19698289
N95 sequence index:	5	5	5	5	5
N95 sequence length:	17980856	18785460	19087288	20527181	18585056
