	GCA_034640245.1_ASM3464024v1_genomic.gbff.raw.pep.faa	GCA_034640265.1_ASM3464026v1_genomic.gbff.raw.pep.faa
Number of sequences:	1	1
Total sequence length:	0	0
Average sequence length:	0.0	0.0
Std. dev. sequence length:	0.0	0.0
Minimum sequence length:	0	0
Maximum sequence length:	0	0
Median sequence length:	0.0	0.0
N25 sequence index:	1	1
N25 sequence length:	0	0
N50 sequence index:	1	1
N50 sequence length:	0	0
N75 sequence index:	1	1
N75 sequence length:	0	0
N95 sequence index:	1	1
N95 sequence length:	0	0
